system   D            wsystem.c:583  maybe_parent_dir                 [   0.00058] Also searching C:\Users\krzyœ\Documents\Visual Studio 2015\Projects\Gra_w_statki\
system   D            wsystem.c:633  _al_win_safe_load_library        [   0.00102] PathFindOnPath found: C:\WINDOWS\system32\d3d9.dll
system   D            wsystem.c:544  load_library_at_path             [   0.00105] Calling LoadLibrary C:\WINDOWS\system32\d3d9.dll
system   I            wsystem.c:547  load_library_at_path             [   0.00278] Loaded C:\WINDOWS\system32\d3d9.dll
d3d      I         d3d_disp.cpp:696  _al_d3d_init_display             [   0.00909] Render-to-texture: 1
system   I             system.c:252  al_install_system                [   0.00914] Allegro version: 5.0.10
font     D                ttf.c:792  al_load_ttf_font_stretch_f       [   0.01012] Font times.ttf loaded with pixel size 0 x 10.
font     D                ttf.c:794  al_load_ttf_font_stretch_f       [   0.01014]     ascent=9.0, descent=-2.0, height=12.0
dtor     D               dtor.c:184  _al_register_destructor          [   0.01016] added dtor for object 00AEE620, func 0F911B3B
font     W               font.c:286  al_init_font_addon               [   0.01021] Font addon already initialised.
font     W                ttf.c:854  al_init_ttf_addon                [   0.01022] TTF addon already initialised.
font     D                ttf.c:792  al_load_ttf_font_stretch_f       [   0.01063] Font times.ttf loaded with pixel size 0 x 10.
font     D                ttf.c:794  al_load_ttf_font_stretch_f       [   0.01065]     ascent=9.0, descent=-2.0, height=12.0
dtor     D               dtor.c:184  _al_register_destructor          [   0.01068] added dtor for object 00ADC720, func 0F911B3B
font     W               font.c:286  al_init_font_addon               [   0.01070] Font addon already initialised.
font     W                ttf.c:854  al_init_ttf_addon                [   0.01071] TTF addon already initialised.
font     D                ttf.c:792  al_load_ttf_font_stretch_f       [   0.01109] Font times.ttf loaded with pixel size 0 x 10.
font     D                ttf.c:794  al_load_ttf_font_stretch_f       [   0.01110]     ascent=9.0, descent=-2.0, height=12.0
dtor     D               dtor.c:184  _al_register_destructor          [   0.01112] added dtor for object 00ADC8A8, func 0F911B3B
font     W               font.c:286  al_init_font_addon               [   0.01114] Font addon already initialised.
font     W                ttf.c:854  al_init_ttf_addon                [   0.01115] TTF addon already initialised.
font     D                ttf.c:792  al_load_ttf_font_stretch_f       [   0.01160] Font times.ttf loaded with pixel size 0 x 10.
font     D                ttf.c:794  al_load_ttf_font_stretch_f       [   0.01161]     ascent=9.0, descent=-2.0, height=12.0
dtor     D               dtor.c:184  _al_register_destructor          [   0.01163] added dtor for object 00ADCA30, func 0F911B3B
font     W               font.c:286  al_init_font_addon               [   0.01165] Font addon already initialised.
font     W                ttf.c:854  al_init_ttf_addon                [   0.01166] TTF addon already initialised.
font     D                ttf.c:792  al_load_ttf_font_stretch_f       [   0.01204] Font times.ttf loaded with pixel size 0 x 10.
font     D                ttf.c:794  al_load_ttf_font_stretch_f       [   0.01205]     ascent=9.0, descent=-2.0, height=12.0
dtor     D               dtor.c:184  _al_register_destructor          [   0.01207] added dtor for object 00ADCCD0, func 0F911B3B
d3d      I         d3d_disp.cpp:1737 d3d_create_display_locked        [   0.01425] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1738 d3d_create_display_locked        [   0.01427] al_display=02EF1910
d3d      D         d3d_disp.cpp:1739 d3d_create_display_locked        [   0.01429] al_display->vt=02EF1640
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.01562] found 64 format combinations
display  D   display_settings.c:191  debug_display_settings           [   0.01564] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01570] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.01571] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01572] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.01573] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01574] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.01575] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01577] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.01577] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01579] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.01580] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01581] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.01582] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01583] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.01584] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01585] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.01586] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01587] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.01588] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01589] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.01590] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01591] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.01592] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01593] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.01594] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01595] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.01596] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01598] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.01598] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01600] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.01601] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01602] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.01603] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01604] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01605] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01606] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01607] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01608] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01609] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01610] Single Buffer requirement not met.
