system   D            wsystem.c:583  maybe_parent_dir                 [   0.00049] Also searching C:\Users\krzyœ\documents\visual studio 2015\Projects\Gra_w_statki\
system   D            wsystem.c:633  _al_win_safe_load_library        [   0.00076] PathFindOnPath found: C:\WINDOWS\system32\d3d9.dll
system   D            wsystem.c:544  load_library_at_path             [   0.00078] Calling LoadLibrary C:\WINDOWS\system32\d3d9.dll
system   I            wsystem.c:547  load_library_at_path             [   0.00482] Loaded C:\WINDOWS\system32\d3d9.dll
d3d      I         d3d_disp.cpp:696  _al_d3d_init_display             [   0.01549] Render-to-texture: 1
system   I             system.c:252  al_install_system                [   0.01552] Allegro version: 5.0.10
font     D                ttf.c:792  al_load_ttf_font_stretch_f       [   0.01619] Font times.ttf loaded with pixel size 0 x 10.
font     D                ttf.c:794  al_load_ttf_font_stretch_f       [   0.01621]     ascent=9.0, descent=-2.0, height=12.0
dtor     D               dtor.c:184  _al_register_destructor          [   0.01623] added dtor for object 00568828, func 0FF01B3B
font     W               font.c:286  al_init_font_addon               [   0.01626] Font addon already initialised.
font     W                ttf.c:854  al_init_ttf_addon                [   0.01627] TTF addon already initialised.
font     D                ttf.c:792  al_load_ttf_font_stretch_f       [   0.01660] Font times.ttf loaded with pixel size 0 x 10.
font     D                ttf.c:794  al_load_ttf_font_stretch_f       [   0.01661]     ascent=9.0, descent=-2.0, height=12.0
dtor     D               dtor.c:184  _al_register_destructor          [   0.01663] added dtor for object 00568B00, func 0FF01B3B
font     W               font.c:286  al_init_font_addon               [   0.01665] Font addon already initialised.
font     W                ttf.c:854  al_init_ttf_addon                [   0.01666] TTF addon already initialised.
font     D                ttf.c:792  al_load_ttf_font_stretch_f       [   0.01698] Font times.ttf loaded with pixel size 0 x 10.
font     D                ttf.c:794  al_load_ttf_font_stretch_f       [   0.01699]     ascent=9.0, descent=-2.0, height=12.0
dtor     D               dtor.c:184  _al_register_destructor          [   0.01701] added dtor for object 00568BE0, func 0FF01B3B
font     W               font.c:286  al_init_font_addon               [   0.01704] Font addon already initialised.
font     W                ttf.c:854  al_init_ttf_addon                [   0.01705] TTF addon already initialised.
font     D                ttf.c:792  al_load_ttf_font_stretch_f       [   0.01739] Font times.ttf loaded with pixel size 0 x 10.
font     D                ttf.c:794  al_load_ttf_font_stretch_f       [   0.01741]     ascent=9.0, descent=-2.0, height=12.0
dtor     D               dtor.c:184  _al_register_destructor          [   0.01742] added dtor for object 00568DD8, func 0FF01B3B
font     W               font.c:286  al_init_font_addon               [   0.01745] Font addon already initialised.
font     W                ttf.c:854  al_init_ttf_addon                [   0.01746] TTF addon already initialised.
font     D                ttf.c:792  al_load_ttf_font_stretch_f       [   0.01777] Font times.ttf loaded with pixel size 0 x 10.
font     D                ttf.c:794  al_load_ttf_font_stretch_f       [   0.01778]     ascent=9.0, descent=-2.0, height=12.0
dtor     D               dtor.c:184  _al_register_destructor          [   0.01780] added dtor for object 005607C0, func 0FF01B3B
d3d      I         d3d_disp.cpp:1737 d3d_create_display_locked        [   0.02080] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1738 d3d_create_display_locked        [   0.02084] al_display=02A6C420
d3d      D         d3d_disp.cpp:1739 d3d_create_display_locked        [   0.02114] al_display->vt=02A6C038
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.02253] found 64 format combinations
display  D   display_settings.c:191  debug_display_settings           [   0.02256] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02262] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.02263] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02264] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.02265] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02267] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.02268] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02269] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.02270] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02271] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.02272] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02273] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.02274] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02275] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.02276] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02277] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.02278] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02279] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.02280] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02281] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.02282] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02284] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.02284] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02286] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.02287] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02288] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.02289] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02290] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.02291] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02292] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.02293] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02294] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.02295] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02296] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02297] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02298] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02299] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02301] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02302] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02303] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02304] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02306] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02306] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02308] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02309] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02310] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02311] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02312] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02313] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02314] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02315] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02316] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02317] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02318] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02319] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02320] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02321] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02322] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02323] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02324] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02325] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02327] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02328] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02329] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02330] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02331] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.02332] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02333] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.02334] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02335] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.02336] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02337] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.02338] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02339] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.02340] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02342] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.02342] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02344] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.02344] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02346] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.02347] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02348] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.02349] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02350] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.02351] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02352] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.02353] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02354] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.02355] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02356] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.02357] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02358] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.02359] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02360] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.02361] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02365] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.02366] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02367] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02368] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02369] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02370] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02372] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02372] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02374] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02375] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02376] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02377] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02378] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02379] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
