system   D            wsystem.c:583  maybe_parent_dir                 [   0.00041] Also searching C:\Users\krzyœ\Documents\Visual Studio 2015\Projects\Gra_w_statki\
system   D            wsystem.c:633  _al_win_safe_load_library        [   0.00065] PathFindOnPath found: C:\WINDOWS\system32\d3d9.dll
system   D            wsystem.c:544  load_library_at_path             [   0.00066] Calling LoadLibrary C:\WINDOWS\system32\d3d9.dll
system   I            wsystem.c:547  load_library_at_path             [   0.00197] Loaded C:\WINDOWS\system32\d3d9.dll
d3d      I         d3d_disp.cpp:696  _al_d3d_init_display             [   0.00744] Render-to-texture: 1
system   I             system.c:252  al_install_system                [   0.00747] Allegro version: 5.0.10
font     D                ttf.c:792  al_load_ttf_font_stretch_f       [   0.07748] Font times.ttf loaded with pixel size 0 x 10.
font     D                ttf.c:794  al_load_ttf_font_stretch_f       [   0.07751]     ascent=9.0, descent=-2.0, height=12.0
dtor     D               dtor.c:184  _al_register_destructor          [   0.07753] added dtor for object 00F1DB58, func 0F321B3B
font     W               font.c:286  al_init_font_addon               [   0.07757] Font addon already initialised.
font     W                ttf.c:854  al_init_ttf_addon                [   0.07759] TTF addon already initialised.
font     D                ttf.c:792  al_load_ttf_font_stretch_f       [   0.07798] Font times.ttf loaded with pixel size 0 x 10.
font     D                ttf.c:794  al_load_ttf_font_stretch_f       [   0.07800]     ascent=9.0, descent=-2.0, height=12.0
dtor     D               dtor.c:184  _al_register_destructor          [   0.07801] added dtor for object 00F999E8, func 0F321B3B
font     W               font.c:286  al_init_font_addon               [   0.07804] Font addon already initialised.
font     W                ttf.c:854  al_init_ttf_addon                [   0.07805] TTF addon already initialised.
font     D                ttf.c:792  al_load_ttf_font_stretch_f       [   0.07840] Font times.ttf loaded with pixel size 0 x 10.
font     D                ttf.c:794  al_load_ttf_font_stretch_f       [   0.07842]     ascent=9.0, descent=-2.0, height=12.0
dtor     D               dtor.c:184  _al_register_destructor          [   0.07843] added dtor for object 00F99A20, func 0F321B3B
font     W               font.c:286  al_init_font_addon               [   0.07845] Font addon already initialised.
font     W                ttf.c:854  al_init_ttf_addon                [   0.07847] TTF addon already initialised.
font     D                ttf.c:792  al_load_ttf_font_stretch_f       [   0.07880] Font times.ttf loaded with pixel size 0 x 10.
font     D                ttf.c:794  al_load_ttf_font_stretch_f       [   0.07881]     ascent=9.0, descent=-2.0, height=12.0
dtor     D               dtor.c:184  _al_register_destructor          [   0.07882] added dtor for object 00F99828, func 0F321B3B
font     W               font.c:286  al_init_font_addon               [   0.07885] Font addon already initialised.
font     W                ttf.c:854  al_init_ttf_addon                [   0.07886] TTF addon already initialised.
font     D                ttf.c:792  al_load_ttf_font_stretch_f       [   0.07918] Font times.ttf loaded with pixel size 0 x 10.
font     D                ttf.c:794  al_load_ttf_font_stretch_f       [   0.07919]     ascent=9.0, descent=-2.0, height=12.0
dtor     D               dtor.c:184  _al_register_destructor          [   0.07921] added dtor for object 00F99E10, func 0F321B3B
d3d      I         d3d_disp.cpp:1737 d3d_create_display_locked        [   0.08149] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1738 d3d_create_display_locked        [   0.08152] al_display=0103BC98
d3d      D         d3d_disp.cpp:1739 d3d_create_display_locked        [   0.08154] al_display->vt=0103BBE0
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.08335] found 64 format combinations
display  D   display_settings.c:191  debug_display_settings           [   0.08338] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.08348] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.08350] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.08351] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.08352] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.08353] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.08354] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.08356] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.08356] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.08358] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.08359] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.08360] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.08361] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.08362] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.08363] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.08364] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.08365] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.08366] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.08367] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.08368] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.08369] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.08371] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.08372] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
